id,title,text,keywords,category,intent
1582,Account Recovery,"In the organization, a registered email address can be used to recover a user account for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
1583,Remote Work Policy,"In the organization, employees can use the company's remote working arrangement each month for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
1584,Annual Leave,"In the organization, each employee receives an annual allowance of 20 paid leave days for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1585,Machine Learning,"In the organization, algorithms can learn relationships in data and use them for future predictions for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1586,Python,"In the organization, many machine learning developers use Python to build intelligent applications for case 1.","Python, programming, data science, machine learning, software",Programming,python
1587,Health Insurance,"In the organization, health insurance is included among the benefits available to eligible employees for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
1588,Work From Home,"In the organization, the work from home option allows eligible employees to work outside the office for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
1589,Deep Learning,"In the organization, layered neural networks are commonly used to solve complex learning problems for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1590,Employee Benefits,"In the organization, the organization's benefits package includes insurance, leave and retirement-related benefits for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1591,Phishing Protection,"According to the policy, phishing protection helps users identify fraudulent messages and unsafe links for case 2.","phishing, email, security, fraud, links",Security,phishing
1592,SQL,"According to the policy, developers use SQL to retrieve and manipulate data in database tables for case 2.","SQL, database, query, data, tables",Programming,sql
1593,Data Science,"According to the policy, data scientists analyze information to discover useful insights and patterns for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
1594,Sick Leave,"According to the policy, sick leave allows employees to take time away from work when they are unwell for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
1595,Data Privacy,"According to the policy, data privacy practices help protect sensitive personal information for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
1596,Cloud Computing,"According to the policy, organizations can use cloud platforms for storage, applications and computing for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
1597,API,"According to the policy, applications can exchange data and functionality through APIs for case 2.","API, software, integration, applications, requests",Technology,api
1598,Natural Language Processing,"According to the policy, nLP techniques can analyze and understand text written in natural language for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
1599,Semantic Search,"According to the policy, a semantic search system finds relevant documents by understanding the meaning of a query for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
1600,Customer Support,"According to the policy, customer support teams assist users with questions and service issues for case 2.","customer support, help, service, customers, tickets",Business,customer_support
1601,Password Reset,Users can reset their account password through the password recovery page. This process is designed to simplify access for case 1.,"password, reset, recovery, account, login",IT,password_recovery
1602,Account Recovery,Users can recover their account by verifying their registered email address. This process is designed to simplify access for case 1.,"account recovery, email verification, account access, registered email",IT,account_recovery
1603,Remote Work Policy,Employees are allowed to work remotely for up to 10 days per month. This process is designed to simplify access for case 1.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
1604,Annual Leave,Employees receive 20 days of paid annual leave every year. This process is designed to simplify access for case 1.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1605,Machine Learning,Machine learning allows computers to learn patterns from data. This process is designed to simplify access for case 1.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1606,Python,Python is a popular programming language used for data science and machine learning. This process is designed to simplify access for case 1.,"Python, programming, data science, machine learning, software",Programming,python
1607,Health Insurance,Employees are eligible for company health insurance benefits. This process is designed to simplify access for case 1.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
1608,Work From Home,Employees may work from home according to the company's remote work policy. This process is designed to simplify access for case 1.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
1609,Deep Learning,Deep learning uses neural networks with multiple layers to learn complex patterns. This process is designed to simplify access for case 1.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1610,Employee Benefits,"Employees receive various benefits including insurance, leave and retirement benefits. This process is designed to simplify access for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1611,Phishing Protection,"According to the policy, security awareness can help employees recognize phishing attempts for case 2.","phishing, email, security, fraud, links",Security,phishing
1612,SQL,"According to the policy, database queries can be written in SQL to find relevant records for case 2.","SQL, database, query, data, tables",Programming,sql
1613,Data Science,"According to the policy, data science uses computational and statistical methods to understand data for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
1614,Sick Leave,"According to the policy, staff members should follow the leave process when taking sick days for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
1615,Data Privacy,"According to the policy, personal data should be handled securely according to privacy requirements for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
1616,Cloud Computing,"According to the policy, cloud services allow businesses to access computing resources without managing all physical infrastructure for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
1617,API,"According to the policy, aPIs provide defined interfaces for software integration and communication for case 2.","API, software, integration, applications, requests",Technology,api
1618,Natural Language Processing,"According to the policy, natural language processing is used for tasks such as text classification and search for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
1619,Semantic Search,"According to the policy, semantic similarity can help search systems retrieve conceptually related documents for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
1620,Customer Support,"According to the policy, support representatives help customers resolve problems and answer questions for case 2.","customer support, help, service, customers, tickets",Business,customer_support
1621,Password Reset,Users can change a forgotten password using the account recovery option. This process is designed to simplify access for case 1.,"password, reset, recovery, account, login",IT,password_recovery
1622,Account Recovery,Account access can be restored after the registered email is verified. This process is designed to simplify access for case 1.,"account recovery, email verification, account access, registered email",IT,account_recovery
1623,Remote Work Policy,Employees may work from home according to the company's remote work policy. This process is designed to simplify access for case 1.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
1624,Annual Leave,Staff members are entitled to 20 paid vacation days each year. This process is designed to simplify access for case 1.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1625,Machine Learning,Machine learning systems identify useful patterns in data to make predictions. This process is designed to simplify access for case 1.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1626,Python,Python is widely used to build applications and analyze data. This process is designed to simplify access for case 1.,"Python, programming, data science, machine learning, software",Programming,python
1627,Health Insurance,The company provides health insurance coverage to eligible employees. This process is designed to simplify access for case 1.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
1628,Work From Home,Staff members can work from home when permitted by company policy. This process is designed to simplify access for case 1.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
1629,Deep Learning,Deep learning models use layered neural networks to understand complex data. This process is designed to simplify access for case 1.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1630,Employee Benefits,"The company offers employees benefits such as insurance, paid leave and retirement support. This process is designed to simplify access for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1631,Phishing Protection,"In the organization, employees should avoid suspicious links in unexpected emails to reduce phishing risks for case 2.","phishing, email, security, fraud, links",Security,phishing
1632,SQL,"In the organization, sQL is used to query and manage information stored in relational databases for case 2.","SQL, database, query, data, tables",Programming,sql
1633,Data Science,"In the organization, data science combines data analysis, statistics and machine learning to solve problems for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
1634,Sick Leave,"In the organization, employees can request sick leave when they are unable to work because of illness for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
1635,Data Privacy,"In the organization, organizations should protect personal information from unauthorized access for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
1636,Cloud Computing,"In the organization, cloud computing provides computing resources through internet-based services for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
1637,API,"In the organization, an API allows different software applications to communicate with each other for case 2.","API, software, integration, applications, requests",Technology,api
1638,Natural Language Processing,"In the organization, natural language processing enables computers to work with human language for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
1639,Semantic Search,"In the organization, semantic search retrieves documents based on meaning rather than exact keyword matches for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
1640,Customer Support,"In the organization, customers can contact support when they need help with a product or service for case 2.","customer support, help, service, customers, tickets",Business,customer_support
1641,Password Reset,A forgotten password can be reset through the account recovery process. This process is designed to simplify access for case 1.,"password, reset, recovery, account, login",IT,password_recovery
1642,Account Recovery,Users can regain access to an account through email verification. This process is designed to simplify access for case 1.,"account recovery, email verification, account access, registered email",IT,account_recovery
1643,Remote Work Policy,The company permits employees to work remotely under its flexible work policy. This process is designed to simplify access for case 1.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
1644,Annual Leave,The company provides employees with 20 days of annual paid leave. This process is designed to simplify access for case 1.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1645,Machine Learning,Computers can learn from examples and improve predictions using machine learning. This process is designed to simplify access for case 1.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1646,Python,Data scientists commonly use Python for machine learning projects. This process is designed to simplify access for case 1.,"Python, programming, data science, machine learning, software",Programming,python
1647,Health Insurance,Eligible staff members can receive medical insurance benefits through the company. This process is designed to simplify access for case 1.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
1648,Work From Home,The organization supports working from home under its flexible work rules. This process is designed to simplify access for case 1.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
1649,Deep Learning,Neural networks with many layers can learn sophisticated patterns through deep learning. This process is designed to simplify access for case 1.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1650,Employee Benefits,"Employee benefits include healthcare coverage, leave and retirement programs. This process is designed to simplify access for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1651,Phishing Protection,"In the organization, phishing protection helps users identify fraudulent messages and unsafe links for case 2.","phishing, email, security, fraud, links",Security,phishing
1652,SQL,"In the organization, developers use SQL to retrieve and manipulate data in database tables for case 2.","SQL, database, query, data, tables",Programming,sql
1653,Data Science,"In the organization, data scientists analyze information to discover useful insights and patterns for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
1654,Sick Leave,"In the organization, sick leave allows employees to take time away from work when they are unwell for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
1655,Data Privacy,"In the organization, data privacy practices help protect sensitive personal information for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
1656,Cloud Computing,"In the organization, organizations can use cloud platforms for storage, applications and computing for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
1657,API,"In the organization, applications can exchange data and functionality through APIs for case 2.","API, software, integration, applications, requests",Technology,api
1658,Natural Language Processing,"In the organization, nLP techniques can analyze and understand text written in natural language for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
1659,Semantic Search,"In the organization, a semantic search system finds relevant documents by understanding the meaning of a query for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
1660,Customer Support,"In the organization, customer support teams assist users with questions and service issues for case 2.","customer support, help, service, customers, tickets",Business,customer_support
1661,Password Reset,Users can regain account access by creating a new password. This process is designed to simplify access for case 1.,"password, reset, recovery, account, login",IT,password_recovery
1662,Account Recovery,The account recovery process requires verification of the registered email. This process is designed to simplify access for case 1.,"account recovery, email verification, account access, registered email",IT,account_recovery
1663,Remote Work Policy,Staff members can perform their duties remotely within the monthly limit. This process is designed to simplify access for case 1.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
1664,Annual Leave,Employees can take up to 20 paid leave days during the year. This process is designed to simplify access for case 1.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1665,Machine Learning,Machine learning enables software to discover patterns without explicit programming. This process is designed to simplify access for case 1.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1666,Python,Python provides a flexible programming environment for data analysis. This process is designed to simplify access for case 1.,"Python, programming, data science, machine learning, software",Programming,python
1667,Health Insurance,Employees may access company-sponsored healthcare coverage. This process is designed to simplify access for case 1.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
1668,Work From Home,Employees can perform their responsibilities from home under the remote work arrangement. This process is designed to simplify access for case 1.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
1669,Deep Learning,Deep learning applies multiple neural network layers to extract complex representations. This process is designed to simplify access for case 1.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1670,Employee Benefits,Staff members can receive several benefits through the company's employee benefits program. This process is designed to simplify access for case 1.,"employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1671,Phishing Protection,"In the organization, security awareness can help employees recognize phishing attempts for case 2.","phishing, email, security, fraud, links",Security,phishing
1672,SQL,"In the organization, database queries can be written in SQL to find relevant records for case 2.","SQL, database, query, data, tables",Programming,sql
1673,Data Science,"In the organization, data science uses computational and statistical methods to understand data for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
1674,Sick Leave,"In the organization, staff members should follow the leave process when taking sick days for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
1675,Data Privacy,"In the organization, personal data should be handled securely according to privacy requirements for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
1676,Cloud Computing,"In the organization, cloud services allow businesses to access computing resources without managing all physical infrastructure for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
1677,API,"In the organization, aPIs provide defined interfaces for software integration and communication for case 2.","API, software, integration, applications, requests",Technology,api
1678,Natural Language Processing,"In the organization, natural language processing is used for tasks such as text classification and search for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
1679,Semantic Search,"In the organization, semantic similarity can help search systems retrieve conceptually related documents for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
1680,Customer Support,"In the organization, support representatives help customers resolve problems and answer questions for case 2.","customer support, help, service, customers, tickets",Business,customer_support
1681,Password Reset,The password recovery page allows users to set a new account password. This process is designed to simplify access for case 1.,"password, reset, recovery, account, login",IT,password_recovery
1682,Account Recovery,A registered email address can be used to recover a user account. This process is designed to simplify access for case 1.,"account recovery, email verification, account access, registered email",IT,account_recovery
1683,Remote Work Policy,Employees can use the company's remote working arrangement each month. This process is designed to simplify access for case 1.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
1684,Annual Leave,Each employee receives an annual allowance of 20 paid leave days. This process is designed to simplify access for case 1.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1685,Machine Learning,Algorithms can learn relationships in data and use them for future predictions. This process is designed to simplify access for case 1.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1686,Python,Many machine learning developers use Python to build intelligent applications. This process is designed to simplify access for case 1.,"Python, programming, data science, machine learning, software",Programming,python
1687,Health Insurance,Health insurance is included among the benefits available to eligible employees. This process is designed to simplify access for case 1.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
1688,Work From Home,The work from home option allows eligible employees to work outside the office. This process is designed to simplify access for case 1.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
1689,Deep Learning,Layered neural networks are commonly used to solve complex learning problems. This process is designed to simplify access for case 1.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1690,Employee Benefits,"The organization's benefits package includes insurance, leave and retirement-related benefits. This process is designed to simplify access for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1691,Phishing Protection,Employees should avoid suspicious links in unexpected emails to reduce phishing risks. This process is designed to simplify access for case 2.,"phishing, email, security, fraud, links",Security,phishing
1692,SQL,SQL is used to query and manage information stored in relational databases. This process is designed to simplify access for case 2.,"SQL, database, query, data, tables",Programming,sql
1693,Data Science,"Data science combines data analysis, statistics and machine learning to solve problems. This process is designed to simplify access for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
1694,Sick Leave,Employees can request sick leave when they are unable to work because of illness. This process is designed to simplify access for case 2.,"sick leave, illness, leave, employees, absence",HR,sick_leave
1695,Data Privacy,Organizations should protect personal information from unauthorized access. This process is designed to simplify access for case 2.,"privacy, personal data, security, information, compliance",Security,data_privacy
1696,Cloud Computing,Cloud computing provides computing resources through internet-based services. This process is designed to simplify access for case 2.,"cloud, servers, storage, computing, technology",Technology,cloud_computing
1697,API,An API allows different software applications to communicate with each other. This process is designed to simplify access for case 2.,"API, software, integration, applications, requests",Technology,api
1698,Natural Language Processing,Natural language processing enables computers to work with human language. This process is designed to simplify access for case 2.,"NLP, language, text, AI, natural language",AI/ML,nlp
1699,Semantic Search,Semantic search retrieves documents based on meaning rather than exact keyword matches. This process is designed to simplify access for case 2.,"semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
1700,Customer Support,Customers can contact support when they need help with a product or service. This process is designed to simplify access for case 2.,"customer support, help, service, customers, tickets",Business,customer_support
1701,Password Reset,"Generally, users can reset their account password through the password recovery page. This process is designed to simplify access for case 1.","password, reset, recovery, account, login",IT,password_recovery
1702,Account Recovery,"Generally, users can recover their account by verifying their registered email address. This process is designed to simplify access for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
1703,Remote Work Policy,"Generally, employees are allowed to work remotely for up to 10 days per month. This process is designed to simplify access for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
1704,Annual Leave,"Generally, employees receive 20 days of paid annual leave every year. This process is designed to simplify access for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1705,Machine Learning,"Generally, machine learning allows computers to learn patterns from data. This process is designed to simplify access for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1706,Python,"Generally, python is a popular programming language used for data science and machine learning. This process is designed to simplify access for case 1.","Python, programming, data science, machine learning, software",Programming,python
1707,Health Insurance,"Generally, employees are eligible for company health insurance benefits. This process is designed to simplify access for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
1708,Work From Home,"Generally, employees may work from home according to the company's remote work policy. This process is designed to simplify access for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
1709,Deep Learning,"Generally, deep learning uses neural networks with multiple layers to learn complex patterns. This process is designed to simplify access for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1710,Employee Benefits,"Generally, employees receive various benefits including insurance, leave and retirement benefits. This process is designed to simplify access for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1711,Phishing Protection,Phishing protection helps users identify fraudulent messages and unsafe links. This process is designed to simplify access for case 2.,"phishing, email, security, fraud, links",Security,phishing
1712,SQL,Developers use SQL to retrieve and manipulate data in database tables. This process is designed to simplify access for case 2.,"SQL, database, query, data, tables",Programming,sql
1713,Data Science,Data scientists analyze information to discover useful insights and patterns. This process is designed to simplify access for case 2.,"data science, analysis, statistics, machine learning, data",AI/ML,data_science
1714,Sick Leave,Sick leave allows employees to take time away from work when they are unwell. This process is designed to simplify access for case 2.,"sick leave, illness, leave, employees, absence",HR,sick_leave
1715,Data Privacy,Data privacy practices help protect sensitive personal information. This process is designed to simplify access for case 2.,"privacy, personal data, security, information, compliance",Security,data_privacy
1716,Cloud Computing,"Organizations can use cloud platforms for storage, applications and computing. This process is designed to simplify access for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
1717,API,Applications can exchange data and functionality through APIs. This process is designed to simplify access for case 2.,"API, software, integration, applications, requests",Technology,api
1718,Natural Language Processing,NLP techniques can analyze and understand text written in natural language. This process is designed to simplify access for case 2.,"NLP, language, text, AI, natural language",AI/ML,nlp
1719,Semantic Search,A semantic search system finds relevant documents by understanding the meaning of a query. This process is designed to simplify access for case 2.,"semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
1720,Customer Support,Customer support teams assist users with questions and service issues. This process is designed to simplify access for case 2.,"customer support, help, service, customers, tickets",Business,customer_support
1721,Password Reset,"Generally, users can change a forgotten password using the account recovery option. This process is designed to simplify access for case 1.","password, reset, recovery, account, login",IT,password_recovery
1722,Account Recovery,"Generally, account access can be restored after the registered email is verified. This process is designed to simplify access for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
1723,Remote Work Policy,"Generally, employees may work from home according to the company's remote work policy. This process is designed to simplify access for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
1724,Annual Leave,"Generally, staff members are entitled to 20 paid vacation days each year. This process is designed to simplify access for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1725,Machine Learning,"Generally, machine learning systems identify useful patterns in data to make predictions. This process is designed to simplify access for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1726,Python,"Generally, python is widely used to build applications and analyze data. This process is designed to simplify access for case 1.","Python, programming, data science, machine learning, software",Programming,python
1727,Health Insurance,"Generally, the company provides health insurance coverage to eligible employees. This process is designed to simplify access for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
1728,Work From Home,"Generally, staff members can work from home when permitted by company policy. This process is designed to simplify access for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
1729,Deep Learning,"Generally, deep learning models use layered neural networks to understand complex data. This process is designed to simplify access for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1730,Employee Benefits,"Generally, the company offers employees benefits such as insurance, paid leave and retirement support. This process is designed to simplify access for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1731,Phishing Protection,Security awareness can help employees recognize phishing attempts. This process is designed to simplify access for case 2.,"phishing, email, security, fraud, links",Security,phishing
1732,SQL,Database queries can be written in SQL to find relevant records. This process is designed to simplify access for case 2.,"SQL, database, query, data, tables",Programming,sql
1733,Data Science,Data science uses computational and statistical methods to understand data. This process is designed to simplify access for case 2.,"data science, analysis, statistics, machine learning, data",AI/ML,data_science
1734,Sick Leave,Staff members should follow the leave process when taking sick days. This process is designed to simplify access for case 2.,"sick leave, illness, leave, employees, absence",HR,sick_leave
1735,Data Privacy,Personal data should be handled securely according to privacy requirements. This process is designed to simplify access for case 2.,"privacy, personal data, security, information, compliance",Security,data_privacy
1736,Cloud Computing,Cloud services allow businesses to access computing resources without managing all physical infrastructure. This process is designed to simplify access for case 2.,"cloud, servers, storage, computing, technology",Technology,cloud_computing
1737,API,APIs provide defined interfaces for software integration and communication. This process is designed to simplify access for case 2.,"API, software, integration, applications, requests",Technology,api
1738,Natural Language Processing,Natural language processing is used for tasks such as text classification and search. This process is designed to simplify access for case 2.,"NLP, language, text, AI, natural language",AI/ML,nlp
1739,Semantic Search,Semantic similarity can help search systems retrieve conceptually related documents. This process is designed to simplify access for case 2.,"semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
1740,Customer Support,Support representatives help customers resolve problems and answer questions. This process is designed to simplify access for case 2.,"customer support, help, service, customers, tickets",Business,customer_support
1741,Password Reset,"Generally, a forgotten password can be reset through the account recovery process. This process is designed to simplify access for case 1.","password, reset, recovery, account, login",IT,password_recovery
1742,Account Recovery,"Generally, users can regain access to an account through email verification. This process is designed to simplify access for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
1743,Remote Work Policy,"Generally, the company permits employees to work remotely under its flexible work policy. This process is designed to simplify access for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
1744,Annual Leave,"Generally, the company provides employees with 20 days of annual paid leave. This process is designed to simplify access for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1745,Machine Learning,"Generally, computers can learn from examples and improve predictions using machine learning. This process is designed to simplify access for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1746,Python,"Generally, data scientists commonly use Python for machine learning projects. This process is designed to simplify access for case 1.","Python, programming, data science, machine learning, software",Programming,python
1747,Health Insurance,"Generally, eligible staff members can receive medical insurance benefits through the company. This process is designed to simplify access for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
1748,Work From Home,"Generally, the organization supports working from home under its flexible work rules. This process is designed to simplify access for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
1749,Deep Learning,"Generally, neural networks with many layers can learn sophisticated patterns through deep learning. This process is designed to simplify access for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1750,Employee Benefits,"Generally, employee benefits include healthcare coverage, leave and retirement programs. This process is designed to simplify access for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1751,Phishing Protection,"Generally, employees should avoid suspicious links in unexpected emails to reduce phishing risks. This process is designed to simplify access for case 2.","phishing, email, security, fraud, links",Security,phishing
1752,SQL,"Generally, sQL is used to query and manage information stored in relational databases. This process is designed to simplify access for case 2.","SQL, database, query, data, tables",Programming,sql
1753,Data Science,"Generally, data science combines data analysis, statistics and machine learning to solve problems. This process is designed to simplify access for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
1754,Sick Leave,"Generally, employees can request sick leave when they are unable to work because of illness. This process is designed to simplify access for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
1755,Data Privacy,"Generally, organizations should protect personal information from unauthorized access. This process is designed to simplify access for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
1756,Cloud Computing,"Generally, cloud computing provides computing resources through internet-based services. This process is designed to simplify access for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
1757,API,"Generally, an API allows different software applications to communicate with each other. This process is designed to simplify access for case 2.","API, software, integration, applications, requests",Technology,api
1758,Natural Language Processing,"Generally, natural language processing enables computers to work with human language. This process is designed to simplify access for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
1759,Semantic Search,"Generally, semantic search retrieves documents based on meaning rather than exact keyword matches. This process is designed to simplify access for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
1760,Customer Support,"Generally, customers can contact support when they need help with a product or service. This process is designed to simplify access for case 2.","customer support, help, service, customers, tickets",Business,customer_support
1761,Password Reset,"Generally, users can regain account access by creating a new password. This process is designed to simplify access for case 1.","password, reset, recovery, account, login",IT,password_recovery
1762,Account Recovery,"Generally, the account recovery process requires verification of the registered email. This process is designed to simplify access for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
1763,Remote Work Policy,"Generally, staff members can perform their duties remotely within the monthly limit. This process is designed to simplify access for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
1764,Annual Leave,"Generally, employees can take up to 20 paid leave days during the year. This process is designed to simplify access for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
1765,Machine Learning,"Generally, machine learning enables software to discover patterns without explicit programming. This process is designed to simplify access for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
1766,Python,"Generally, python provides a flexible programming environment for data analysis. This process is designed to simplify access for case 1.","Python, programming, data science, machine learning, software",Programming,python
1767,Health Insurance,"Generally, employees may access company-sponsored healthcare coverage. This process is designed to simplify access for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
1768,Work From Home,"Generally, employees can perform their responsibilities from home under the remote work arrangement. This process is designed to simplify access for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
1769,Deep Learning,"Generally, deep learning applies multiple neural network layers to extract complex representations. This process is designed to simplify access for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
1770,Employee Benefits,"Generally, staff members can receive several benefits through the company's employee benefits program. This process is designed to simplify access for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
1771,Phishing Protection,"Generally, phishing protection helps users identify fraudulent messages and unsafe links. This process is designed to simplify access for case 2.","phishing, email, security, fraud, links",Security,phishing
1772,SQL,"Generally, developers use SQL to retrieve and manipulate data in database tables. This process is designed to simplify access for case 2.","SQL, database, query, data, tables",Programming,sql
1773,Data Science,"Generally, data scientists analyze information to discover useful insights and patterns. This process is designed to simplify access for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
1774,Sick Leave,"Generally, sick leave allows employees to take time away from work when they are unwell. This process is designed to simplify access for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
1775,Data Privacy,"Generally, data privacy practices help protect sensitive personal information. This process is designed to simplify access for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
1776,Cloud Computing,"Generally, organizations can use cloud platforms for storage, applications and computing. This process is designed to simplify access for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
